archetype,decktype,player,quantity,scryfallId
Control,Orzhov Control,Andrin,1,f1e5cafb-b0e6-4ee5-8c58-6f8e5ef2b9da
Control,Orzhov Control,Andrin,1,9d3a7998-ccac-45ad-a4e9-3a2cb057f63b
Control,Orzhov Control,Andrin,1,29632951-3c3d-478c-8c5a-9a34f30a5c28
Control,Orzhov Control,Andrin,1,825969b9-3c70-4fca-8cab-696e9ca7cdb2
Control,Orzhov Control,Andrin,1,89345f55-2b32-4356-945a-d56dded39909
Control,Orzhov Control,Andrin,1,396bca07-82ba-49b7-b79e-7784b3a06d48
Control,Orzhov Control,Andrin,1,c78da035-6b5b-4136-9ab6-f622b64fdc54
Control,Orzhov Control,Andrin,1,cb94a02f-4660-45b6-8a39-941b710cf8f3
Control,Orzhov Control,Andrin,1,31276460-fa9d-47da-85c5-c4baa8074d0d
Control,Orzhov Control,Andrin,1,1c603751-1e2b-4c8e-a8d2-5c0876e7254f
Control,Orzhov Control,Andrin,1,522aa72b-2b8c-484c-872b-f082101cee35
Control,Orzhov Control,Andrin,1,df9d9075-2d1e-4848-b661-816d539e05eb
Control,Orzhov Control,Andrin,1,93f99e67-901f-4c8d-8a09-e443b7eb928f
Control,Orzhov Control,Andrin,1,05cf51d8-9f91-42ff-99e9-4397f2251c20
Control,Orzhov Control,Andrin,1,493a5ca7-5f90-4af4-b6db-43ae09a2f2c9
Control,Orzhov Control,Andrin,1,187e887c-c39d-4d25-a506-cdc95fc70316
Control,Orzhov Control,Andrin,1,ec3de5f4-bb55-4ab9-995f-f3e0dc22c1bb
Control,Orzhov Control,Andrin,1,b8aa7126-5df3-42dd-b4a3-0d0ea59eeebd
Control,Orzhov Control,Andrin,1,0d16e8e0-31b2-4389-afd6-783c501f6fa0
Control,Orzhov Control,Andrin,1,fe30c0ff-f74b-456a-a61e-3720d84d713f
Control,Orzhov Control,Andrin,1,106f9629-b3aa-4703-82fb-c1e771bbce72
Control,Orzhov Control,Andrin,1,e9a268ba-c442-4fe4-90b4-2810c8474f4e
Control,Orzhov Control,Andrin,1,18a3cca1-e50e-49b6-9e1a-f86640e3b177
Control,Orzhov Control,Andrin,1,19018f23-b63b-45af-8419-8959f41472d4
Control,Orzhov Control,Andrin,1,45fd6e91-df76-497f-b642-33dc3d5f6a5a
Control,Orzhov Control,Andrin,1,14065271-d942-42a8-aa38-d8a622c0375d
Control,Orzhov Control,Andrin,1,68c72226-6f52-4322-8b14-18737293dfa0
Control,Orzhov Control,Andrin,1,5f6927e1-c580-483a-8e2a-6e2deb74800e
Control,Domain Control,Dimlas,1,59faa45d-868b-4bc7-934c-0e077642e129
Control,Domain Control,Dimlas,1,073bfdca-d7b8-4f4b-93f3-6e7c44bc0b0a
Control,Domain Control,Dimlas,1,3028075c-5fc5-4942-a984-1ffcf7a8933d
Control,Domain Control,Dimlas,1,6ade6918-6d1d-448d-ab56-93996051e9a9
Control,Domain Control,Dimlas,1,0cb33b46-4d1b-4f97-bfdc-d815aee111da
Control,Domain Control,Dimlas,1,ca4c8b04-66af-4cb3-8003-9088d8344b20
Control,Domain Control,Dimlas,1,c14098d6-28ae-492f-8ffc-7d115d83ce6a
Control,Domain Control,Dimlas,1,5d10b752-d9cb-419d-a5c4-d4ee1acb655e
Control,Domain Control,Dimlas,1,2bf2da97-3331-4614-b4ff-f03d061500a7
Control,Domain Control,Dimlas,1,059e8447-6b1c-4651-a734-a8fea2cbf7b2
Control,Domain Control,Dimlas,1,50bc0f5b-7421-45b9-af85-86dd9821b7d8
Control,Domain Control,Dimlas,1,10158a5e-5a03-41ab-85d2-0907ccf32c9b
Control,Domain Control,Dimlas,1,4e4fb50c-a81f-44d3-93c5-fa9a0b37f617
Control,Domain Control,Dimlas,1,5ad67b3c-cd5a-497b-8639-9b844e8d517a
Control,Domain Control,Dimlas,1,70e33f45-7d47-423b-a123-8541f1d1afb4
Control,Domain Control,Dimlas,1,b2996f07-9dbc-444f-aaae-710866da2b4b
Control,Domain Control,Dimlas,1,69c68c95-b788-43b1-9f22-1b22c5a00b25
Control,Domain Control,Dimlas,1,09521f23-52d6-482d-9f3b-c4d12fcc08cc
Control,Domain Control,Dimlas,1,2a717b98-cdac-416d-bf6c-f6b6638e65d1
Control,Domain Control,Dimlas,1,be77b98a-dd79-477c-8ab2-7ebf5637a89e
Control,Domain Control,Dimlas,1,3c3ac3dd-35db-447f-8674-37b4680a1ef7
Control,Domain Control,Dimlas,1,55707746-da6e-46e5-a5ca-7ac843fdc38e
Control,Domain Control,Dimlas,1,2b73d294-6ab1-4051-9b0f-d8e335d37674
Control,Domain Control,Dimlas,1,75fdce80-e338-4a50-bdc6-786511feaeef
Control,Domain Control,Dimlas,1,4820d223-4ea1-4850-931c-3d2ab5eb003b
Control,Domain Control,Dimlas,1,377cee38-e769-47b0-abd5-0f528600f36a
Control,Domain Control,Dimlas,1,a6539e26-b63b-4725-9407-caaf451de084
Control,Domain Control,Dimlas,1,1c7d50d6-b63a-4d8c-88fa-1d78ae693a45
Control,Domain Control,Dimlas,1,054f2276-2dd5-43da-bb26-c57c560861fe
Control,Domain Control,Dimlas,1,6fd672bb-18cf-44e3-8dda-5310b1e0fffe
Control,Domain Control,Dimlas,1,0e9aeaa8-9a75-4719-992f-cbb316f72175
Control,Domain Control,Dimlas,1,652236c2-84ef-45e4-b5fc-ed6170bc3d6c
Control,Domain Control,Dimlas,1,17260fff-b239-4af4-9306-3236ae3fa5a5
Control,Domain Control,Dimlas,1,16c8d2fa-54a7-46e8-980c-905258497c90
Control,Domain Control,Dimlas,1,15faa763-b897-4e86-b094-73f3236291a9
Control,Artifacts Control,Guy,1,fd52688a-39fd-430f-b950-cb56e0004396
Control,Artifacts Control,Guy,1,4b0bd07e-cf80-4d64-af29-f4cec6632b3e
Control,Artifacts Control,Guy,1,504a69eb-3c2d-4bb1-b117-252b15acf0c2
Control,Artifacts Control,Guy,1,329a8738-3e17-403a-857a-0ba529ce8cd1
Control,Artifacts Control,Guy,1,7c353e83-4b63-4bc6-b029-273d2eca1f75
Control,Artifacts Control,Guy,1,991037a2-fea2-49f5-8ace-ebbf9f678cff
Control,Artifacts Control,Guy,1,64a5d494-efa1-446b-bebe-2ad36e154376
Control,Artifacts Control,Guy,1,490eb213-9ae2-4b45-abec-6f1dfc83792a
Control,Artifacts Control,Guy,1,c1e0f201-42cb-46a1-901a-65bb4fc18f6c
Control,Artifacts Control,Guy,1,ebc01ab4-d89a-4d25-bf54-6aed33772f4b
Control,Artifacts Control,Guy,1,0c9a7cb0-5bff-48ff-b620-2838816ac9b5
Control,Artifacts Control,Guy,1,3c02b8ee-84cb-44cb-ba14-9e725a9d03ee
Control,Artifacts Control,Guy,1,ce648aa3-098b-4af0-a433-fd290bc85904
Control,Artifacts Control,Guy,1,f1a21287-e244-4960-84fb-c4f6e5c346d9
Control,Artifacts Control,Guy,1,a9738cda-adb1-47fb-9f4c-ecd930228c4d
Control,Artifacts Control,Guy,1,5a077de0-1893-40d0-a499-ee2e6e2258f1
Control,Artifacts Control,Guy,1,187b6719-e5ed-4615-a00b-3313ceca055b
Control,Artifacts Control,Guy,1,0ce44270-a684-4489-9077-521456e6dfaa
Control,Artifacts Control,Guy,1,5a10b543-d5d4-42a8-9ee8-dada59a2ad7e
Control,Artifacts Control,Guy,1,a249b1f4-2b22-4b67-a207-e0c4ae95d2e1
Control,Artifacts Control,Guy,1,aac0c8df-f01d-4178-8d66-ee603f814d24
Control,Artifacts Control,Guy,1,02e8e540-8aa3-4e6a-9a11-c3949cab5f0f
Control,Artifacts Control,Guy,1,32a180dd-9641-4546-8940-9b21084f0c71
Control,Artifacts Control,Guy,1,fd99bce1-ce39-464b-8e61-2631eb3ed6f6
Control,Artifacts Control,Guy,1,819a513c-3be6-4bdc-8ba6-1f7326a8f3ea
Control,Artifacts Control,Guy,1,551c0a45-9515-4e51-84e5-79703832a661
Control,Artifacts Control,Guy,1,064dfdeb-485f-473e-9fa0-8fdb7638cdc6
Control,Artifacts Control,Guy,1,1fdcc0c3-4029-4fc3-a486-5d7f45c910bd
Control,Artifacts Control,Guy,1,175b3d28-5c74-4972-9b5c-5e39762c78f4
Control,Artifacts Control,Guy,1,02c532e8-21f1-4d6f-a931-1ea48a6aeea2
Control,Artifacts Control,Guy,1,e6d7fba8-a157-4d81-9d6b-bd210a96b248
Control,Artifacts Control,Guy,1,486d7edc-d983-41f0-8b78-c99aecd72996
Control,Artifacts Control,Guy,1,d5806e68-1054-458e-866d-1f2470f682b2
Control-Aggro (Midrange),Simic Midrange,Joel K.,1,1a55c370-d396-4c73-8ee2-83dc4c124005
Control-Aggro (Midrange),Simic Midrange,Joel K.,1,ff84ea71-e477-44f7-a3f8-77fef708efeb
Control-Aggro (Midrange),Simic Midrange,Joel K.,1,d67be074-cdd4-41d9-ac89-0a0456c4e4b2
Control-Aggro (Midrange),Simic Midrange,Joel K.,1,37dbe1a3-3c44-452b-9fb9-37f5d793d0b5
Control-Aggro (Midrange),Simic Midrange,Joel K.,1,7f7e780e-fbc5-4dc0-b5c7-efcb8645c7c6
Control-Aggro (Midrange),Simic Midrange,Joel K.,1,3003d481-1b52-4aa9-bbdc-e948fbc8d49d
Control-Aggro (Midrange),Simic Midrange,Joel K.,1,7ea4b5bc-18a4-45db-a56a-ab3f8bd2fb0d
Control-Aggro (Midrange),Simic Midrange,Joel K.,1,94b67489-5eb0-4406-9bf3-27e50dc632eb
Control-Aggro (Midrange),Simic Midrange,Joel K.,1,ea1feac0-d3a7-45eb-9719-1cdaf51ea0b6
Control-Aggro (Midrange),Simic Midrange,Joel K.,1,52eef0d6-24b7-40b7-8403-e8e863d0cd55
Control-Aggro (Midrange),Simic Midrange,Joel K.,1,1834ac92-8b4e-4442-a834-acd580e1ef99
Control-Aggro (Midrange),Simic Midrange,Joel K.,1,b0c5728e-43e7-417a-ba18-5038345cec67
Control-Aggro (Midrange),Simic Midrange,Joel K.,1,2462df62-fc35-47ed-9571-40452074dc6d
Control-Aggro (Midrange),Simic Midrange,Joel K.,1,01d1e394-1b0c-4b40-ba85-f55973703d41
Control-Aggro (Midrange),Simic Midrange,Joel K.,1,19adde22-e5eb-4815-beb6-c520b3274cc9
Control-Aggro (Midrange),Simic Midrange,Joel K.,1,4cbdacc1-7a1b-4633-85f5-eb50c2bf406d
Control-Aggro (Midrange),Simic Midrange,Joel K.,1,2aef4608-5ba8-4636-b5e7-cac57c5c0608
Control-Aggro (Midrange),Simic Midrange,Joel K.,1,35f1a6ba-e46f-44fb-93f4-fb883d677b36
Control-Aggro (Midrange),Simic Midrange,Joel K.,1,30377bf0-d9b1-4c14-8dde-f74b1e02d604
Control-Aggro (Midrange),Simic Midrange,Joel K.,1,49bb0ad3-1082-41f1-82a4-52a4006cc9b6
Control-Aggro (Midrange),Simic Midrange,Joel K.,1,441f8b2f-c8cb-4340-a92f-116c2276e906
Control-Aggro (Midrange),Simic Midrange,Joel K.,1,247939d9-87e9-4f01-b223-fb4cfa7dbbe1
Control-Aggro (Midrange),Simic Midrange,Joel K.,1,18bd50f2-c3ba-4217-a2d5-bb771e199706
Control-Aggro (Midrange),Simic Midrange,Joel K.,1,906b6e99-128f-4c11-8daf-16099d35b0d4
Control-Aggro (Midrange),Simic Midrange,Joel K.,1,4acaef84-55d1-43dc-b10a-696182e6709b
Combo,Reanimator-Flash,Kas,1,63af3c26-5b1f-46f6-9aa2-036c615bf5ea
Combo,Reanimator-Flash,Kas,1,f62fd592-4910-417d-a500-e7029f3d119f
Combo,Reanimator-Flash,Kas,1,bb41ff5c-9617-4033-a4fa-99323640b9c3
Combo,Reanimator-Flash,Kas,1,b045c28a-39f9-4cd9-8f3a-a626b697f409
Combo,Reanimator-Flash,Kas,1,f0192cf7-3391-4720-b9c8-72dec5dde01e
Combo,Reanimator-Flash,Kas,1,04fc99dc-bfbe-4567-b791-6b1db96471ec
Combo,Reanimator-Flash,Kas,1,4c732dc7-dd6b-4cc1-bbe0-ff3b1d2c7419
Combo,Reanimator-Flash,Kas,1,05bdd22c-3e11-4c29-bdfa-d3dfc0e90a9f
Combo,Reanimator-Flash,Kas,1,612b2e6e-fe8d-49ad-b845-6fa7fa59ffd1
Combo,Reanimator-Flash,Kas,1,17824929-f131-4b8d-addb-66c25323155e
Combo,Reanimator-Flash,Kas,1,02d6d693-f1f3-4317-bcc0-c21fa8490d38
Combo,Reanimator-Flash,Kas,1,1ee98955-4c47-4d45-9377-608dfa755337
Combo,Reanimator-Flash,Kas,1,311a6257-dd77-4bb6-81cb-c8e7862350f3
Combo,Reanimator-Flash,Kas,1,a1febcf1-afa4-4406-9ac1-5bf98b2765d2
Combo,Reanimator-Flash,Kas,1,e6befbc4-1320-4f26-bd9f-b1814fedda10
Combo,Reanimator-Flash,Kas,1,4df8aabc-7fcb-4b7b-980b-18f499e6c170
Combo,Reanimator-Flash,Kas,1,68841ca8-a043-4f30-9a17-e983ed960bc2
Combo,Reanimator-Flash,Kas,1,0027e5ca-8046-40a0-bd73-79be55f28bff
Combo,Reanimator-Flash,Kas,1,8c39f9b4-02b9-4d44-b8d6-4fd02ebbb0c5
Combo,Reanimator-Flash,Kas,1,3ee3945e-5089-4751-b7b3-5961c39d2a33
Combo,Reanimator-Flash,Kas,1,9b911653-7b96-4cf3-a907-13c5c53a14f7
Combo,Reanimator-Flash,Kas,1,62b3f560-262b-4bc3-9aef-535fd7082c28
Combo,Reanimator-Flash,Kas,1,bd3d4b4b-cf31-4f89-8140-9650edb03c7b
Combo,Reanimator-Flash,Kas,1,3faa8c5e-9e1b-4cee-b322-a033bf33dcbc
Combo,Reanimator-Flash,Kas,1,b51666ae-2aef-4cb1-9cd4-44aec81530f8
Combo,Reanimator-Flash,Kas,1,54f449ff-4025-465e-9ec5-a5cf42c4c9d3
Combo,Reanimator-Flash,Kas,1,1066a94a-8e4f-4d77-820b-7a77a18116f0
Combo,Reanimator-Flash,Kas,1,24a5cc2c-0fbf-4a5f-b175-6e0ffd0d0787
Combo,Reanimator-Flash,Kas,1,0324641d-af55-4c53-b4dc-c8262e967da5
Combo,Reanimator-Flash,Kas,1,4216656e-90e8-45fc-a0f6-0d0d79d0a021
Aggro,Boros Aggro,Lukas Stalder,1,1af92296-455a-425e-9397-a96d09937767
Aggro,Boros Aggro,Lukas Stalder,1,54e0c2cd-fa5f-427d-8e15-6066f002a8e3
Aggro,Boros Aggro,Lukas Stalder,1,8c2996d9-3287-4480-8c04-7a378e37e3cf
Aggro,Boros Aggro,Lukas Stalder,1,1716b4dd-9045-462b-b053-72de450a8cde
Aggro,Boros Aggro,Lukas Stalder,1,2487d124-210b-4808-888c-cd0a78aebd90
Aggro,Boros Aggro,Lukas Stalder,1,0f7585c8-9e21-4eef-afc1-2852de23db2f
Aggro,Boros Aggro,Lukas Stalder,1,4e117771-5a8b-4812-b487-32ba34b7f724
Aggro,Boros Aggro,Lukas Stalder,1,89af0f45-c11c-4f13-9950-b1489440ee5b
Aggro,Boros Aggro,Lukas Stalder,1,2be39749-ad6f-4160-99eb-c677eee7f1b2
Aggro,Boros Aggro,Lukas Stalder,1,dcb94950-3f3e-4876-84f8-d5e4d9cfecee
Aggro,Boros Aggro,Lukas Stalder,1,2616aa0e-8413-4e63-877c-bffd5263f552
Aggro,Boros Aggro,Lukas Stalder,1,ce35e6fb-ff54-44c4-a216-7ddd37f46882
Aggro,Boros Aggro,Lukas Stalder,1,b256ddc8-8b12-434c-a610-1a872e948f2f
Aggro,Boros Aggro,Lukas Stalder,1,0d60eabe-b281-4eba-9c26-287364ed2067
Aggro,Boros Aggro,Lukas Stalder,1,63c59228-c742-4abd-b4d7-9f7880190e95
Aggro,Boros Aggro,Lukas Stalder,1,9721f8da-39ed-4ada-a571-61e08a86032b
Aggro,Boros Aggro,Lukas Stalder,1,a76fa8d4-923d-4afc-ba47-ba10fc0fe46e
Aggro,Boros Aggro,Lukas Stalder,1,76c3cad2-1e25-4abe-878d-9194de6fcc27
Aggro,Boros Aggro,Lukas Stalder,1,1daf4348-05c5-4c55-bcf2-c7bec7988bfc
Aggro,Boros Aggro,Lukas Stalder,1,0d08f5e4-d2d3-4659-86d4-a983d80e3b2c
Aggro,Boros Aggro,Lukas Stalder,1,d6ec3293-b09e-4931-ac4e-dc5eac0ca004
Aggro,Boros Aggro,Lukas Stalder,1,cea3b218-0e6e-443a-84f7-380f1021e8e1
Aggro,Boros Aggro,Lukas Stalder,1,8db735ea-f9cf-4e3c-9200-4f180df55baa
Aggro,Boros Aggro,Lukas Stalder,1,21c950d7-b4f6-4902-8c9a-98f2933f9fa5
